category,query_id,query_number,avg_runtime_ms,min_runtime_ms,max_runtime_ms,runs,status,error,sql_preview,max_join_type_score,avg_join_type_score,has_full_scan,has_index_scan,has_range_scan,has_ref_scan,num_tables,num_indexes_used,index_coverage_ratio,has_no_index,avg_possible_keys,total_rows_examined,max_rows_examined,avg_rows_examined,log_rows_examined,avg_filtered_pct,min_filtered_pct,has_filesort,has_temp_table,has_using_index,has_using_where,has_impossible_where,has_subquery,has_derived,has_union,num_select_types,category_encoded,log_avg_runtime,runtime_ratio,needs_index,predicted_needs_index,index_priority_score
single_table_filters,Q001,1,333.0785,312.6613,357.1442,3,OK,,SELECT * FROM ORDERS WHERE O_TOTALPRICE > 10000,11.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,148465.0,148465.0,148465.0,11.908111254781456,50.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,5.811375995301611,2.3663933404213675,1,1,1.0
single_table_filters,Q002,2,263.3249,261.3215,265.666,3,OK,,SELECT * FROM ORDERS WHERE O_TOTALPRICE > 50000,11.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,148465.0,148465.0,148465.0,11.908111254781456,50.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,5.577179028296378,1.8708211119214317,1,1,1.0
single_table_filters,Q003,3,21.5571,20.4635,23.6401,3,OK,,SELECT * FROM ORDERS WHERE O_TOTALPRICE BETWEEN 20000 AND 40000,9.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,17728.0,17728.0,17728.0,9.782956995898381,100.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3.1160498722678094,0.15315482049666207,0,0,0.0
single_table_filters,Q004,4,172.4494,169.8901,176.349,3,OK,,SELECT * FROM ORDERS WHERE O_ORDERDATE > '1995-01-01',11.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,148465.0,148465.0,148465.0,11.908111254781456,50.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,5.1558859141996285,1.2251859898482207,1,1,1.0
single_table_filters,Q005,5,48.1961,47.7397,48.973,3,OK,,SELECT * FROM ORDERS WHERE O_ORDERDATE BETWEEN '1995-01-01' AND '1996-01-01',9.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,42772.0,42772.0,42772.0,10.66366234138441,100.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3.8958143520636823,0.3424145661586751,0,0,0.005
single_table_filters,Q006,6,54.3407,53.7295,55.2134,3,OK,,"SELECT O_ORDERKEY, O_ORDERDATE FROM ORDERS WHERE O_ORDERDATE > '1996-01-01'",9.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,74232.0,74232.0,74232.0,11.21496407422151,100.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,4.013508623357205,0.38606956196162584,0,0,0.0
single_table_filters,Q007,7,0.2787,0.2124,0.3227,3,OK,,"SELECT O_ORDERKEY, O_CUSTKEY FROM ORDERS WHERE O_CUSTKEY = 1000",3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,16.0,2.833213344056216,100.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.24584393683498554,0.0019800552241451643,0,0,0.0
single_table_filters,Q008,8,9.2887,9.007,9.4785,3,OK,,SELECT * FROM ORDERS WHERE O_CUSTKEY BETWEEN 100 AND 500,9.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4040.0,4040.0,4040.0,8.304247465078474,100.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.331046205616077,0.06599260480989304,0,0,0.0
single_table_filters,Q009,9,1.7672,1.6227,1.9068,3,OK,,"SELECT O_ORDERKEY, O_TOTALPRICE FROM ORDERS WHERE O_TOTALPRICE < 5000",9.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1448.0,1448.0,1448.0,7.278628942320682,100.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,1.017835978640822,0.012555269437062557,0,0,0.002857142857142857
single_table_filters,Q010,10,159.5744,150.4937,174.6326,3,OK,,SELECT * FROM ORDERS WHERE O_ORDERSTATUS = 'O',11.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,148465.0,148465.0,148465.0,11.908111254781456,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,5.078757386565179,1.133714116827521,1,1,1.0
